Date,Views,Likes
2021-01-21,302617,8459
2021-01-21,120000,2917
2021-01-22,85334,1727
2021-01-22,835182,25647
2021-01-23,139659,3327
2021-01-23,101933,2770
2021-01-24,82462,1935
2021-01-24,161423,5313
2021-01-25,162209,4649
2021-01-26,180984,6347
2021-01-26,206995,6622
2021-01-27,380346,7413
2021-01-27,711080,18906
2021-01-28,617277,15884
2021-01-28,683294,22233
2021-01-29,188604,5595
2021-01-29,167455,6395
2021-01-30,198597,4856
2021-01-30,93853,3476
2021-01-31,75996,2075
2021-01-31,44857,1696
2021-02-01,335669,8030
2021-02-02,295768,9879
2021-02-02,191541,4790
2021-02-02,104808,4133
2021-02-03,724413,20675
2021-02-03,900972,25635
2021-02-04,173119,3651
2021-02-04,265581,6007
2021-02-05,453611,30869
2021-02-05,211012,5161
2021-02-06,1676411,52415
2021-02-06,167965,5847
2021-02-07,131490,3513
2021-02-08,169707,4485
2021-02-08,213448,4864
2021-02-08,235352,7300
2021-02-09,134267,3716
2021-02-09,365370,11463
2021-02-10,98488,4357
2021-02-10,620064,22429
2021-02-11,91228,2408
2021-02-12,402013,11419
2021-02-13,878904,20484
2021-02-14,185989,4349
2021-02-14,160534,5034
2021-02-15,712526,16013
2021-02-16,153536,11311
2021-02-17,245858,8579
2021-02-17,89691,3059
2021-02-18,70333,2396
2021-02-18,159918,5543
2021-02-19,2087580,39781
2021-02-20,72717,1731
2021-02-20,901374,34010
2021-02-20,109394,3087
2021-02-21,187202,5192
2021-02-22,192843,5350
2021-02-22,528628,20060
2021-02-23,517300,16539
2021-02-23,483465,16867
2021-02-24,151197,5187
2021-02-24,374340,10515
2021-02-25,735028,24530
2021-02-25,164986,4715
2021-02-26,59413,2060
2021-02-26,242605,7043
2021-02-27,112015,3102
2021-02-27,1095585,37466
2021-02-28,188131,4197
2021-02-28,372299,8290
2021-03-01,93600,2805
2021-03-01,134388,3382
2021-03-02,717322,24367
2021-03-02,252191,7134
2021-03-02,2004739,46273
2021-03-03,359865,10101
2021-03-04,372163,11836
2021-03-04,113038,3700
2021-03-05,395071,10232
2021-03-06,430180,12774
2021-03-06,63168,1535
2021-03-06,141128,4668
2021-03-07,201294,5283
2021-03-07,307501,13910
2021-03-08,172895,5081
2021-03-08,92782,2961
2021-03-09,297900,11694
2021-03-09,185470,5023
2021-03-10,202062,5916
2021-03-10,170069,4492
2021-03-11,111761,3806
2021-03-11,215142,6403
2021-03-12,125403,2338
2021-03-12,694477,23124
2021-03-13,99744,2330
2021-03-13,109361,3344
2021-03-14,330952,6989
2021-03-14,73131,2020
2021-03-15,130282,3796
2021-03-15,775002,24150
2021-03-16,104922,3540
2021-03-16,124017,2800
2021-03-17,59888,1997
2021-03-17,74698,2332
2021-03-18,61100,1410
2021-03-18,310226,14759
2021-03-19,140976,3959
2021-03-19,1291830,44123
2021-03-20,58927,2256
2021-03-20,139049,3379
2021-03-21,213245,5116
2021-03-22,70067,2041
2021-03-22,82987,2952
2021-03-23,1424598,37956
2021-03-23,386039,10634
2021-03-24,416253,15142
2021-03-24,93901,2426
2021-03-25,63687,2284
2021-03-25,880623,31479
2021-03-26,1372688,29348
2021-03-26,146868,3753
2021-03-27,123431,3169
2021-03-27,163423,4854
2021-03-28,249116,3248
2021-03-28,284073,7730
2021-03-29,128461,3579
2021-03-29,95797,3006
2021-03-30,151166,7674
2021-03-30,208830,4738
2021-03-31,87528,2314
2021-03-31,399664,12556
2021-04-01,228284,5963
2021-04-01,217819,10105
2021-04-02,129206,3470
2021-04-02,149444,6780
2021-04-03,174238,5784
2021-04-03,91722,2255
2021-04-04,440859,17667
2021-04-04,69660,1820
2021-04-05,139344,4264
2021-04-05,342242,10818
2021-04-06,1629687,37541
2021-04-07,539371,13867
2021-04-07,114643,3566
2021-04-08,259747,11106
2021-04-08,131577,3934
2021-04-09,42445,1031
2021-04-09,323430,16434
2021-04-10,131884,3990
2021-04-10,128195,2786
2021-04-11,64601,0
2021-04-11,117507,0
2021-04-12,58155,1398
2021-04-12,101677,2428
2021-04-13,88892,2852
2021-04-14,70346,1991
2021-04-15,42191,1064
2021-04-15,311646,15612
2021-04-15,101930,2360
2021-04-16,61078,1902
2021-04-16,62027,1700
2021-04-17,59999,2293
2021-04-18,97549,2387
2021-04-18,49703,1272
2021-04-19,37217,1381
2021-04-19,117398,3610
2021-04-20,44818,2631
2021-04-20,32808,997
2021-04-20,47179,1378
2021-04-20,38385,1413
2021-04-21,190277,5193
2021-04-21,35222,1253
2021-04-21,52569,1641
2021-04-22,265039,7124
2021-04-22,55707,1776
2021-04-23,61970,1888
2021-04-23,39315,1346
2021-04-23,112538,2673
2021-04-24,85992,1824
2021-04-24,57541,1896
2021-04-25,52612,1598
2021-04-25,73539,2686
2021-04-26,74515,2637
2021-04-26,107800,3433
2021-04-27,238283,9447
2021-04-27,101142,2871
2021-04-28,114801,3004
2021-04-28,641899,12839
2021-04-29,61721,2068
2021-04-29,108537,3070
2021-04-30,63239,2463
2021-04-30,58322,1861
2021-05-01,31629,749
2021-05-01,185567,4450
2021-05-02,52012,1048
2021-05-02,94050,2458
2021-05-03,129654,3375
2021-05-03,50168,1488
2021-05-04,78708,2564
2021-05-04,253685,5051
2021-05-05,242066,5479
2021-05-05,308239,12053
